video,label,ear,mar
5.mp4,5,0.1838,2.0486
5.mp4,5,0.1596,1.8686
5.mp4,5,0.1874,1.9928
5.mp4,5,0.179,2.0535
5.mp4,5,0.1726,1.6415
5.mp4,5,0.1839,2.1222
5.mp4,5,0.2001,1.9461
5.mp4,5,0.1995,2.1592
5.mp4,5,0.1782,1.998
5.mp4,5,0.1771,1.9057
5.mp4,5,0.1727,2.0865
5.mp4,5,0.1796,1.8008
5.mp4,5,0.1964,2.2423
5.mp4,5,0.1922,2.0328
5.mp4,5,0.1688,1.7204
5.mp4,5,0.1945,1.7614
5.mp4,5,0.2037,1.7563
5.mp4,5,0.1845,1.776
5.mp4,5,0.1301,1.8454
5.mp4,5,0.1984,1.7922
5.mp4,5,0.1907,1.8245
5.mp4,5,0.1965,2.0096
5.mp4,5,0.1927,1.9869
5.mp4,5,0.1934,2.1549
5.mp4,5,0.1847,1.9387
5.mp4,5,0.1817,2.0338
5.mp4,5,0.1764,2.0334
5.mp4,5,0.1744,1.9815
5.mp4,5,0.1831,1.8851
5.mp4,5,0.1763,1.8648
5.mp4,5,0.1764,2.0876
5.mp4,5,0.1437,1.8308
5.mp4,5,0.1761,1.7826
5.mp4,5,0.1799,1.8746
5.mp4,5,0.1545,1.7827
5.mp4,5,0.1779,1.9311
5.mp4,5,0.1719,1.8459
5.mp4,5,0.18,1.9176
5.mp4,5,0.1729,1.9149
5.mp4,5,0.1964,1.986
5.mp4,5,0.185,1.8774
5.mp4,5,0.1765,1.876
5.mp4,5,0.184,1.7044
5.mp4,5,0.1812,1.7991
5.mp4,5,0.183,2.1274
5.mp4,5,0.181,1.7161
5.mp4,5,0.1721,1.8702
5.mp4,5,0.185,1.8638
5.mp4,5,0.1781,1.9436
5.mp4,5,0.1822,1.968
5.mp4,5,0.1832,2.2047
5.mp4,5,0.1928,1.7678
5.mp4,5,0.0964,1.8935
5.mp4,5,0.2033,1.9668
5.mp4,5,0.1917,1.9032
5.mp4,5,0.1849,1.9632
5.mp4,5,0.1843,1.9413
5.mp4,5,0.1794,2.0732
5.mp4,5,0.1974,1.985
5.mp4,5,0.194,2.0516
5.mp4,5,0.1873,1.8742
5.mp4,5,0.1774,1.9007
5.mp4,5,0.183,2.0623
5.mp4,5,0.1812,2.0342
5.mp4,5,0.1697,2.0237
5.mp4,5,0.1717,2.0365
5.mp4,5,0.179,2.0845
5.mp4,5,0.179,2.0764
5.mp4,5,0.1868,1.8593
5.mp4,5,0.2055,2.0234
5.mp4,5,0.1887,1.9975
5.mp4,5,0.1903,2.1049
5.mp4,5,0.1844,1.881
5.mp4,5,0.1741,1.7837
5.mp4,5,0.1733,2.3399
5.mp4,5,0.1632,1.7795
5.mp4,5,0.1625,1.6229
5.mp4,5,0.1683,1.9049
5.mp4,5,0.1712,1.6241
5.mp4,5,0.1593,1.5947
5.mp4,5,0.1663,1.6741
5.mp4,5,0.0446,1.7046
5.mp4,5,0.1899,1.7202
5.mp4,5,0.1853,1.8095
5.mp4,5,0.1962,1.8232
5.mp4,5,0.1804,1.6525
5.mp4,5,0.1893,1.8563
5.mp4,5,0.1884,1.7385
5.mp4,5,0.1838,1.8028
5.mp4,5,0.1886,1.7637
5.mp4,5,0.1867,1.6272
5.mp4,5,0.1919,1.7125
5.mp4,5,0.1927,1.6664
5.mp4,5,0.2042,1.7672
5.mp4,5,0.2093,1.727
5.mp4,5,0.1842,1.7722
5.mp4,5,0.1933,1.7226
5.mp4,5,0.1867,1.7533
5.mp4,5,0.189,1.7387
5.mp4,5,0.2044,1.7526
5.mp4,5,0.1916,1.8351
5.mp4,5,0.1961,1.7544
5.mp4,5,0.184,1.7314
5.mp4,5,0.1899,1.8203
5.mp4,5,0.193,1.8484
5.mp4,5,0.1895,1.8972
5.mp4,5,0.1865,1.7969
5.mp4,5,0.1824,1.7221
5.mp4,5,0.1761,1.7729
5.mp4,5,0.1932,1.8183
5.mp4,5,0.1851,1.6846
5.mp4,5,0.189,1.8385
5.mp4,5,0.1855,1.8824
5.mp4,5,0.1812,1.7267
5.mp4,5,0.2026,1.7729
5.mp4,5,0.1904,1.8151
5.mp4,5,0.1797,1.959
5.mp4,5,0.1773,1.8587
5.mp4,5,0.1847,1.783
5.mp4,5,0.1811,1.7993
5.mp4,5,0.1775,1.8493
5.mp4,5,0.1953,1.8188
5.mp4,5,0.1882,1.9486
5.mp4,5,0.1779,1.8435
5.mp4,5,0.1862,1.7521
5.mp4,5,0.1944,1.6332
5.mp4,5,0.1793,1.7088
5.mp4,5,0.1848,1.7462
5.mp4,5,0.1958,1.8227
5.mp4,5,0.1882,1.7977
5.mp4,5,0.1791,1.7165
5.mp4,5,0.1675,1.7355
5.mp4,5,0.1646,1.8417
5.mp4,5,0.1697,1.8802
5.mp4,5,0.1803,1.8921
5.mp4,5,0.1603,1.861
5.mp4,5,0.1905,1.7449
5.mp4,5,0.194,1.8962
5.mp4,5,0.1783,1.7078
5.mp4,5,0.1803,1.6918
5.mp4,5,0.1782,1.7707
5.mp4,5,0.1879,1.7379
5.mp4,5,0.1758,1.5948
5.mp4,5,0.1903,1.7631
5.mp4,5,0.1961,1.9528
5.mp4,5,0.1811,1.9995
5.mp4,5,0.1816,1.724
5.mp4,5,0.1715,1.8871
5.mp4,5,0.1963,1.7965
5.mp4,5,0.1889,1.7828
5.mp4,5,0.1896,1.7106
5.mp4,5,0.1874,1.7382
